Codigo;Producto;P. Venta;P. Mayoreo;Departamento;Existencia;Tipo de Venta;Proveedor
29681;puntas 1 1/2 Bolsa;1200;0;- Sin Departamento -;203;UNIDAD;rgm
29698;Reduccion Sanitario 50x40;550;0;- Sin Departamento -;47;UNIDAD;hidraulicos
29704;Reduccion Sanitario 110x50;1700;0;- Sin Departamento -;116;UNIDAD;hidraulicos
2974;Bisagra 35mm Cierre Suave X2;3600;0;- Sin Departamento -;11;UNIDAD;
29742;Riel Cajon 40cm;3000;0;- Sin Departamento -;34;UNIDAD;mag chile
29766;rueda porton S/Base 3 X Unidad;8700;0;- Sin Departamento -;8;UNIDAD;
2981;Bisagra 35mm Curva X2;1500;0;- Sin Departamento -;126;UNIDAD;ferromat
29889;tapa ppr 25;150;0;- Sin Departamento -;100;UNIDAD;
29919;Tapon Bronce 3/4 SO;1000;0;- Sin Departamento -;46;UNIDAD;taumm
29926;Tapon Bronce 3/8 SO;600;0;- Sin Departamento -;22;UNIDAD;taumm
29940;Tapon Bronce HE 1/2;1400;0;- Sin Departamento -;58;UNIDAD;taumm
29964;tapon negro goma;600;0;- Sin Departamento -;76;UNIDAD;
29988;tarugo clavo 8x100 Unidad;250;0;- Sin Departamento -;96;UNIDAD;
29995;tarugo clavo 8x80 Unidad;250;0;- Sin Departamento -;1671;UNIDAD;mamut
3000721300011;Ampolleta redonda22W;2900;0;- Sin Departamento -;20;UNIDAD;santa ines
3000721300028;Ampolleta redonda32W;3800;0;- Sin Departamento -;20;UNIDAD;santa ines
3000721900020;Ampolleta Halogena 100W;1700;0;- Sin Departamento -;38;UNIDAD;santa ines
30014;Tee Bronce 1/2 So;1300;0;- Sin Departamento -;211;UNIDAD;taumm
30021;Tee Bronce 3/4 So;3300;0;- Sin Departamento -;36;UNIDAD;taumm
30038;Tee Bronce 3/4 - 1/2 - 3/4;2800;0;- Sin Departamento -;8;UNIDAD;taumm
30045;Tee Bronce HI 3/4;2700;0;- Sin Departamento -;6;UNIDAD;taumm
30052;Tee Blanca 75mm;3300;0;- Sin Departamento -;33;UNIDAD;hidraulicos
30069;Tee Bronce HI-HI-HI 1/2;3000;0;- Sin Departamento -;5;UNIDAD;taumm
30083;Terminal Bronce HE 1/2;1100;0;- Sin Departamento -;69;UNIDAD;taumm
30106;Terminal Bronce HI 1/2;1250;0;- Sin Departamento -;100;UNIDAD;taumm
30137;tierra color Rojo 1/2 kg;2300;0;- Sin Departamento -;19;UNIDAD;
30151;tinte para madera;3800;0;- Sin Departamento -;1;UNIDAD;
30168;Tope De Puerta Goma;900;0;- Sin Departamento -;69;UNIDAD;
30182;Tubo Hidraulico 25mm 1mtr;1200;0;- Sin Departamento -;96;UNIDAD;hidraulicos
30199;Tubo hidraulico 20 1mtrs;900;0;- Sin Departamento -;477;UNIDAD;hidraulicos
30202;Perfil Rectangular 30x20x2;11200;0;- Sin Departamento -;12;UNIDAD;
30205;Tuerca Hex. 1/4 (unidad);50;0;- Sin Departamento -;97;UNIDAD;mamut
30229;Vee Sanitario 110mm;4050;0;- Sin Departamento -;13;UNIDAD;hidraulicos
30236;Vee Sanitario 110x50mm;2850;0;- Sin Departamento -;24;UNIDAD;hidraulicos
30422000062036;Escuadra Silla 2 Ferromat;400;0;- Sin Departamento -;352;UNIDAD;ferromat
30422000064036;Escuadra Plana 4 Ferromat;1050;0;- Sin Departamento -;78;UNIDAD;ferromat
30422000131036;Escusdra Plana 1 1/2;200;0;- Sin Departamento -;14;UNIDAD;ferromat
30422000138036;Escuadra Plana 2 1/2;600;0;- Sin Departamento -;25;UNIDAD;ferromat
30422000144036;Escuadra Plana 3 1/2;800;0;- Sin Departamento -;130;UNIDAD;ferromat
30508000061036;Escuadra silla 1;200;0;- Sin Departamento -;326;UNIDAD;
30508000064036;Escuadra Silla 4 Ferromat;1050;0;- Sin Departamento -;52;UNIDAD;ferromat
30508000131036;Escuadra silla 1 1/2;300;0;- Sin Departamento -;87;UNIDAD;
31;2 Enchufe + 1 Interruptor;4600;0;- Sin Departamento -;26;UNIDAD;castillo
3155;Bisagra Piano 1 Mtrs;4200;0;- Sin Departamento -;6;UNIDAD;herrera
321549;Tornillo De Policarbonato 2 Bolsa;29600;0;- Sin Departamento -;9;UNIDAD;Comercial J&L SPA
3216;Bomba de Parafina;3500;0;- Sin Departamento -;8;UNIDAD;ferre center
321654;Tornillo De Policarbonato 1 1/2 Bolsa;28400;0;- Sin Departamento -;9;UNIDAD;Comercial J&L SPA
3259906221423;Silicona Estructural Negra 300ml ValKolor;4500;0;- Sin Departamento -;24;UNIDAD;valprik
3259906226251;Silicona Pintable ValKolor;1900;0;- Sin Departamento -;58;UNIDAD;valprik
3261;Boton Estanque 2 Etapas 38mm;3500;0;- Sin Departamento -;10;UNIDAD;gasfit
338;Abrazadera Valco 20mm;200;0;- Sin Departamento -;106;UNIDAD;
345;Abrazadera Valco 25mm;300;0;- Sin Departamento -;82;UNIDAD;
3452;Broca Concreto 14mm;3000;0;- Sin Departamento -;0;UNIDAD;
3469;Broca Concreto 10mm;3100;0;- Sin Departamento -;26;UNIDAD;Trentini
3506;Broca Concreto 3mm;600;0;- Sin Departamento -;10;UNIDAD;Trentini
3513;Broca Concreto 5mm;1300;0;- Sin Departamento -;8;UNIDAD;Trentini
352;Abrazadera Hidraulico 25mm;250;0;- Sin Departamento -;236;UNIDAD;hoffens
3520;Broca Concreto 7mm;1500;0;- Sin Departamento -;12;UNIDAD;mamut
3582;Broca Concreto 12mm;3500;0;- Sin Departamento -;24;UNIDAD;
3612;Broca Madera 12x30cm;2800;0;- Sin Departamento -;1;UNIDAD;uyustool
3728;Broca Metal 1,5mm;500;0;- Sin Departamento -;23;UNIDAD;Trentini
